Size: 256
Style: stroke-linecap="round" stroke-width="1.6" stroke="#ffffff"
Path: m0,0 h0
152.66,13.72
158.08,12.50
162.05,14.46
167.07,11.87
172.02,12.39
175.90,12.25
182.05,14.35
187.63,11.20
191.94,14.20
199.01,11.74
204.25,14.42
207.26,11.97
212.92,12.34
217.63,13.37
224.32,11.48
228.15,12.15
234.52,12.71
239.69,11.62
242.92,12.95
249.76,10.51
252.83,11.63
1.48,17.38
7.62,17.87
10.33,19.53
16.28,18.07
22.61,17.48
26.50,15.74
31.93,16.43
36.89,18.45
41.47,18.67
46.31,16.53
50.90,19.05
58.43,16.17
62.73,18.67
67.72,18.25
72.20,17.93
76.74,18.43
81.02,16.26
87.30,18.93
92.63,16.22
96.43,17.44
101.58,18.30
106.48,16.05
112.87,18.83
119.49,17.29
121.69,19.54
128.97,19.04
134.30,18.40
138.22,17.19
142.39,17.88
149.53,16.28
151.74,19.48
157.52,17.78
162.74,18.15
169.11,17.56
174.09,18.50
178.49,16.05
183.80,19.10
187.91,15.41
193.77,18.76
197.76,16.43
201.86,18.49
209.34,19.29
211.10,16.76
216.59,17.96
224.32,15.73
229.62,17.65
232.15,18.48
236.81,19.37
241.43,17.17
249.22,16.29
253.60,18.97
3.28,22.41
7.56,24.20
13.34,20.82
16.13,23.04
21.46,22.88
26.62,22.55
33.97,20.74
36.55,24.48
43.36,21.77
48.12,24.33
54.28,20.68
56.90,21.11
63.54,22.62
66.86,21.78
72.65,21.73
78.62,21.87
83.29,22.97
88.37,22.65
94.56,23.37
98.01,20.77
102.51,21.87
109.07,24.23
112.12,21.90
117.62,22.27
124.34,21.56
126.64,20.61
134.33,22.06
137.69,23.98
142.32,21.19
147.45,21.91
154.81,24.34
159.81,22.87
162.87,22.09
168.97,23.50
174.05,22.31
179.44,23.86
183.51,22.75
189.05,21.11
191.65,24.06
200.09,23.42
204.10,23.52
209.04,23.67
214.68,23.78
219.64,21.16
223.74,20.64
227.70,21.46
232.43,24.09
237.26,24.02
242.01,20.56
248.38,22.24
253.26,21.98
2.83,27.42
6.62,28.37
13.03,27.40
18.43,27.76
23.64,28.84
28.31,27.23
32.15,27.54
36.02,28.78
41.69,27.50
48.91,27.53
53.01,27.69
56.40,29.78
60.47,27.43
65.94,26.19
71.74,27.60
78.85,27.94
82.10,26.53
86.54,28.29
90.97,27.54
95.73,29.07
101.03,25.84
107.51,27.09
111.55,29.51
118.88,27.04
122.24,28.46
126.42,28.11
131.80,28.73
138.59,28.58
143.31,26.63
148.65,25.98
151.55,28.13
157.88,27.36
164.28,28.78
168.23,26.32
173.32,27.19
177.95,27.29
184.36,27.27
188.82,28.35
191.98,27.75
196.41,26.10
204.26,28.93
207.11,28.37
214.34,26.48
218.57,27.04
223.09,26.11
228.18,29.12
231.78,27.93
238.85,28.63
244.32,25.09
247.08,29.32
251.76,27.80
4.22,33.47
7.53,31.98
11.26,33.50
15.52,32.92
24.06,33.36
26.57,32.47
31.78,32.82
39.18,31.35
43.25,31.34
46.19,34.83
52.59,32.03
58.92,33.48
63.07,30.71
68.50,32.72
74.23,33.03
77.51,31.77
83.24,31.49
87.27,31.57
92.91,33.31
98.22,33.77
101.89,30.58
107.70,31.45
113.82,33.15
117.03,33.23
122.70,33.90
127.67,31.90
132.02,33.12
138.14,32.02
142.15,32.74
148.78,32.51
153.04,34.09
159.15,32.92
162.32,34.38
168.56,33.39
172.15,32.78
177.25,33.55
181.18,31.54
188.11,33.02
193.91,32.86
198.63,32.63
201.76,31.01
208.08,33.61
211.42,32.11
216.48,31.76
222.44,32.62
229.07,32.16
233.14,31.87
238.93,31.97
243.12,30.57
248.01,34.34
252.97,31.68
1.41,36.29
6.09,39.06
12.92,36.75
17.93,36.07
21.67,37.03
27.44,37.40
34.31,37.11
37.89,38.66
40.89,35.69
47.35,38.91
51.60,38.85
59.22,36.45
62.86,37.57
67.86,36.69
71.61,37.93
76.23,38.49
84.08,38.94
86.86,37.09
92.80,38.27
97.27,37.82
101.71,36.49
106.38,37.89
110.99,36.25
116.47,39.33
124.14,36.65
129.84,36.23
133.07,38.79
137.46,39.28
143.79,35.69
147.61,38.61
151.20,38.62
158.13,37.69
164.48,37.92
167.75,38.40
173.37,39.49
179.55,36.94
184.56,37.61
189.77,36.52
193.57,37.38
199.02,37.07
203.50,37.88
209.02,39.03
215.11,36.99
219.98,36.17
225.26,36.71
230.26,37.55
235.15,37.62
240.27,36.46
243.29,38.63
248.61,39.34
254.19,37.86
2.41,42.78
7.77,42.19
13.09,42.04
17.02,44.55
22.50,41.62
26.13,42.55
31.35,42.32
39.39,43.54
42.69,40.76
47.83,44.33
54.60,44.16
59.28,41.42
61.11,44.07
68.67,42.16
74.09,41.40
78.82,42.25
83.31,42.19
89.57,41.34
94.57,42.86
100.00,43.59
104.15,41.58
109.31,40.96
112.63,43.57
118.06,42.18
121.47,41.59
127.24,42.55
134.77,42.14
139.02,44.36
143.37,43.28
148.33,42.32
154.88,40.56
158.41,43.46
163.17,44.07
168.52,42.47
174.42,44.25
178.03,43.04
183.14,42.16
189.94,41.13
192.99,44.28
198.64,42.79
203.31,43.89
208.71,42.60
215.15,42.62
219.37,41.13
223.56,42.86
227.29,42.12
234.21,43.71
238.26,41.33
241.61,42.68
248.37,43.78
253.27,43.95
1.11,47.58
5.50,48.96
11.09,46.76
19.28,48.09
23.60,48.07
29.12,46.99
34.20,49.27
36.02,46.56
43.31,45.74
46.55,48.78
51.16,48.68
57.39,48.88
63.29,48.56
67.03,45.88
71.47,49.67
75.77,46.66
84.12,47.95
88.55,48.13
92.18,48.10
97.01,46.48
103.03,46.01
108.27,48.39
113.52,49.05
118.30,48.70
123.56,45.82
129.13,48.15
132.27,47.78
136.79,49.13
143.36,48.76
148.51,47.03
153.27,45.97
157.17,48.03
164.36,49.94
166.39,47.06
171.38,46.64
179.55,48.64
182.71,46.76
187.39,47.02
192.00,46.90
198.60,46.90
203.38,48.46
208.66,47.80
212.21,45.75
218.04,48.77
223.05,48.10
228.85,49.42
233.15,48.57
238.77,46.13
242.64,47.51
248.62,49.31
252.94,49.05
3.95,52.65
8.61,51.62
13.09,51.68
16.25,52.83
21.47,53.38
28.62,51.90
32.88,52.70
36.60,52.74
41.74,51.68
47.45,54.24
53.25,52.96
57.24,53.56
61.78,53.62
67.51,54.02
73.24,53.22
78.07,53.17
80.67,50.24
86.50,52.76
93.05,52.67
99.15,50.70
101.05,53.16
107.82,53.29
111.32,52.64
118.55,51.93
122.38,52.23
126.51,51.55
131.94,51.43
139.70,52.94
143.34,52.62
147.13,53.51
152.39,53.87
157.22,52.47
161.14,53.34
168.25,53.70
171.73,51.50
177.34,52.73
182.47,52.67
188.67,51.46
194.47,52.14
197.10,54.54
204.24,54.49
209.19,53.00
214.02,51.09
218.50,53.37
223.23,51.59
229.13,54.45
233.36,52.85
237.14,51.95
243.96,51.46
248.65,53.16
255.36,53.21
2.04,58.28
8.58,56.12
13.73,56.72
18.10,58.08
22.33,57.71
25.86,59.59
31.17,56.59
35.82,57.48
40.93,58.81
46.44,57.84
52.79,56.55
58.42,59.07
61.04,57.06
67.51,58.78
74.15,56.83
78.98,58.38
82.37,55.93
87.43,59.29
92.27,57.32
96.39,57.60
103.27,57.96
109.65,59.22
113.34,58.86
119.54,57.34
121.61,59.76
127.25,58.44
132.19,56.62
136.38,56.36
141.71,56.93
146.17,59.66
152.98,58.67
158.91,57.27
163.72,58.81
168.94,56.54
173.23,59.07
176.57,56.33
181.53,58.77
188.68,56.24
192.64,56.59
196.05,59.39
202.85,58.48
209.94,58.33
211.76,55.82
217.28,56.74
222.77,58.41
227.64,58.49
233.29,56.75
238.91,59.49
243.14,57.01
248.91,57.24
253.66,56.73
4.49,62.73
8.27,61.02
13.83,62.02
18.59,61.87
22.09,63.46
28.69,62.02
33.98,64.58
37.35,61.26
41.12,62.40
47.55,61.59
51.50,64.10
58.50,63.31
62.65,62.29
67.38,63.36
73.09,63.89
79.30,61.32
83.63,63.05
86.96,64.49
93.72,61.38
98.08,63.37
102.71,62.38
107.01,61.81
113.96,63.35
119.46,62.98
124.48,64.22
129.53,61.64
132.87,62.67
137.51,62.56
141.55,62.90
148.70,61.61
151.43,64.24
157.22,60.88
164.47,62.79
167.35,64.40
171.77,63.41
178.33,61.36
183.15,61.58
188.79,63.35
192.23,64.51
198.16,61.76
204.38,63.65
208.06,61.82
213.38,60.90
216.95,63.81
221.89,62.35
230.06,61.31
234.53,62.77
236.57,65.15
242.99,61.18
246.80,62.52
254.52,61.86
3.41,67.29
6.59,66.12
13.31,69.66
16.48,67.36
21.16,68.42
28.84,68.34
33.56,68.66
39.14,67.20
41.65,66.51
47.53,65.93
53.97,68.21
57.50,69.09
61.29,67.20
67.85,66.42
73.83,67.94
77.71,68.37
82.17,66.99
88.75,69.04
93.53,66.38
98.13,67.50
102.31,66.79
107.24,67.75
111.70,68.94
118.42,68.20
124.91,68.42
127.82,69.86
131.94,68.47
139.06,68.22
143.14,68.91
148.15,68.81
154.25,68.19
157.84,69.14
161.07,65.98
167.85,68.25
173.76,66.40
179.53,67.78
183.91,66.18
187.82,67.84
192.09,69.64
196.72,67.29
202.03,67.95
207.19,66.18
213.54,68.25
219.86,68.13
223.83,67.54
227.36,66.64
233.29,68.94
240.12,66.34
244.44,68.86
248.43,66.49
253.37,66.95
0.92,74.25
6.01,73.25
11.39,73.96
16.68,71.70
24.23,70.74
26.79,74.05
34.67,74.41
37.79,71.53
44.68,71.32
47.98,74.23
53.00,73.97
58.46,73.54
63.88,73.24
67.58,73.89
70.76,71.56
76.18,72.28
83.63,71.46
87.29,72.86
92.24,73.53
98.63,72.78
104.17,71.70
108.90,73.86
114.26,72.14
117.23,74.02
122.03,71.09
126.41,74.06
133.64,71.22
136.95,73.11
141.61,74.21
148.88,74.01
151.89,74.46
156.77,71.77
164.33,73.81
167.23,73.56
173.36,73.69
177.23,71.11
183.82,74.32
186.28,71.92
193.55,72.79
198.01,74.79
205.07,71.87
209.35,72.78
212.02,72.14
217.08,71.36
222.92,73.03
228.97,72.50
233.13,72.20
238.08,73.83
242.50,73.32
247.18,74.10
252.51,73.12
3.11,77.09
6.32,76.37
10.79,78.93
18.28,78.40
22.72,76.31
27.36,79.28
32.57,76.54
38.29,75.93
42.39,77.75
45.52,79.48
53.79,78.84
58.16,78.40
62.33,76.64
66.71,79.38
72.71,77.57
78.24,78.19
82.54,76.29
88.07,78.72
93.98,76.60
98.76,77.08
103.01,75.77
106.32,76.34
114.21,79.73
116.47,77.12
122.20,78.71
126.61,78.18
133.88,79.16
139.05,77.75
144.92,76.58
148.72,78.84
154.62,76.09
157.28,79.37
163.79,77.05
167.04,79.15
175.39,76.30
179.36,76.66
182.74,79.78
189.92,78.00
192.13,76.11
198.69,79.18
202.08,75.85
207.94,78.35
211.74,77.14
217.32,76.25
222.99,76.98
227.95,79.32
232.92,76.38
236.68,78.81
241.72,76.04
249.82,78.99
254.00,79.40
3.59,83.23
7.04,81.41
14.21,80.50
16.42,84.65
20.80,82.38
25.53,82.47
33.98,82.14
38.26,83.80
43.43,84.27
47.94,81.16
51.48,83.37
57.86,82.05
61.65,84.72
68.19,84.10
74.18,82.68
78.06,82.13
83.20,81.17
87.01,82.92
92.75,81.50
98.27,81.35
103.73,82.97
107.07,82.49
113.27,83.80
118.37,83.39
123.00,84.20
128.38,82.06
133.14,82.57
139.47,83.69
144.50,83.09
145.90,81.06
151.78,81.89
158.74,81.52
162.38,83.31
167.74,83.33
172.66,81.22
176.69,82.99
182.03,83.54
187.15,81.00
194.12,82.96
199.15,83.97
202.91,83.48
208.97,83.77
213.69,83.12
218.37,82.46
223.57,80.93
227.66,84.05
231.57,84.43
239.16,81.13
242.39,81.07
247.91,82.24
252.53,82.72
3.53,87.33
6.66,88.80
12.28,87.01
18.18,88.51
23.13,89.49
27.72,87.43
31.47,87.35
36.67,86.31
41.71,87.99
48.05,87.34
53.39,86.91
57.92,89.44
64.46,87.39
67.74,86.55
74.40,86.24
78.72,88.50
84.22,86.34
88.87,89.22
91.86,86.49
96.85,86.65
100.91,86.36
107.26,88.02
113.63,89.47
117.37,87.43
121.59,88.84
128.53,87.79
131.60,88.74
139.45,88.14
144.89,87.67
149.08,88.46
152.75,86.56
158.31,87.70
162.48,86.96
168.68,88.24
173.15,89.11
178.49,88.51
184.72,87.06
189.22,88.22
193.27,86.36
199.20,88.02
203.69,88.76
206.61,86.59
215.02,86.57
216.43,89.11
223.32,86.48
229.04,88.71
235.30,88.17
238.28,88.41
242.65,86.75
247.13,87.69
252.37,86.46
3.69,92.06
9.05,93.55
13.97,91.77
18.94,92.47
24.51,93.86
28.89,91.44
33.94,91.48
37.66,92.37
44.16,93.82
48.43,93.75
51.98,91.24
58.19,93.66
62.36,93.64
68.00,91.82
73.27,93.30
79.02,92.99
82.08,93.34
87.65,92.86
92.50,93.22
98.59,93.63
101.38,92.63
109.00,93.11
113.19,92.24
119.63,91.73
122.42,93.35
127.99,93.78
133.46,93.02
136.67,92.78
141.55,93.97
147.82,93.24
153.57,92.61
157.66,92.87
164.17,91.42
168.74,93.88
172.17,94.40
177.65,92.99
182.24,93.51
186.30,92.11
192.67,92.17
196.93,92.25
204.30,91.70
207.66,94.50
211.48,91.63
217.40,92.19
221.82,91.88
229.47,92.35
233.59,93.44
239.86,93.85
245.24,91.66
250.31,92.09
253.81,92.57
1.86,96.71
5.80,98.40
14.10,98.50
17.91,99.19
22.01,98.62
26.29,98.17
32.53,96.10
37.66,97.97
41.21,97.16
45.85,98.95
51.21,96.89
56.18,98.49
62.48,98.49
66.82,96.20
72.68,96.53
75.86,99.41
80.81,99.05
89.70,99.46
91.77,96.41
97.04,97.64
103.82,96.71
108.30,99.77
110.92,96.83
117.44,96.86
123.04,96.62
129.05,97.29
133.21,97.08
137.62,98.66
143.49,97.53
146.92,96.52
154.52,98.40
156.66,100.14
163.17,96.69
169.38,99.51
173.96,98.10
178.71,97.78
183.18,99.55
188.92,96.96
194.37,98.07
198.05,96.87
201.66,99.43
208.39,97.18
212.10,99.17
217.14,96.40
224.46,98.51
229.06,96.27
231.69,97.80
236.81,97.17
241.76,97.73
247.50,98.19
254.24,97.54
3.52,101.79
7.57,104.45
12.73,102.14
16.54,104.18
23.95,103.69
28.39,101.76
33.05,102.26
37.38,102.64
43.23,102.59
46.59,103.02
52.12,101.59
58.97,103.13
61.59,102.35
68.55,101.77
73.99,101.79
78.43,103.81
83.77,101.15
87.11,102.66
92.83,104.19
97.05,102.67
101.11,101.01
105.82,103.29
111.65,101.81
117.73,101.72
121.83,101.51
127.21,101.84
132.90,101.93
136.68,103.10
144.69,102.28
148.80,104.46
152.51,104.06
159.02,103.21
163.51,104.48
166.54,101.21
173.62,102.90
177.47,103.46
183.16,104.12
187.47,102.45
192.63,103.30
197.47,103.95
203.09,103.13
208.66,104.38
212.02,104.06
219.31,101.18
222.07,101.82
229.54,104.16
233.99,104.05
237.54,102.79
243.64,101.51
248.05,101.96
253.30,104.39
3.15,109.50
5.58,107.23
11.92,106.56
18.82,107.44
21.94,109.74
25.87,107.95
30.74,109.47
35.60,106.48
43.14,109.74
46.90,106.47
53.02,107.11
58.79,108.96
63.21,106.92
67.68,108.38
73.94,109.54
77.94,107.77
81.92,107.16
87.04,107.94
93.20,108.78
97.97,107.25
102.43,107.93
109.20,106.72
113.14,108.02
117.90,106.05
124.70,109.23
127.71,107.49
132.37,107.76
137.15,109.55
142.76,106.38
148.81,108.61
153.04,108.11
156.41,109.47
161.45,107.19
167.14,106.77
171.45,107.65
176.83,107.75
182.61,109.43
187.73,107.64
191.62,106.38
197.73,108.51
202.99,106.76
207.28,108.07
214.71,107.06
217.96,108.68
224.88,106.26
229.58,108.34
232.61,108.31
239.72,106.09
243.54,108.36
249.56,105.87
252.09,109.06
1.22,112.65
8.49,111.80
13.68,111.94
16.67,112.59
22.70,113.57
27.01,112.93
35.02,111.06
36.54,113.81
43.42,113.08
47.46,111.85
52.83,112.17
57.14,113.85
61.63,111.83
67.17,113.00
71.20,111.24
77.57,113.54
80.99,114.20
88.42,114.02
93.09,113.56
98.02,114.83
104.25,110.55
106.30,112.34
114.26,111.72
117.26,111.29
121.19,111.08
126.15,113.98
133.11,114.46
139.38,113.64
143.41,112.52
146.71,114.15
151.68,114.15
159.68,113.98
162.28,111.27
168.58,111.72
173.33,112.10
178.51,114.61
183.90,113.13
187.38,111.88
192.44,113.77
198.61,114.15
202.87,111.17
208.07,113.90
214.88,111.57
220.19,112.82
223.15,110.36
226.88,112.49
233.39,113.01
238.67,111.86
244.20,113.16
248.46,113.20
251.93,112.57
3.60,116.99
8.87,116.26
12.14,118.30
16.90,117.01
22.74,119.14
26.72,117.57
32.23,116.42
38.15,118.65
41.32,119.33
47.72,116.64
51.39,117.14
58.85,116.66
64.06,116.48
69.50,119.51
73.67,117.91
76.86,118.47
83.68,115.65
86.34,116.36
90.96,118.43
96.29,119.83
103.23,116.18
106.55,117.15
112.31,118.83
116.65,117.62
121.44,117.01
129.30,117.09
131.28,119.19
136.68,117.06
141.92,116.44
146.61,118.20
151.59,117.17
158.19,117.54
162.50,119.63
168.34,116.17
171.87,118.96
178.52,118.44
183.15,116.72
187.87,116.84
194.06,117.58
199.42,117.75
201.95,119.54
209.27,117.18
212.51,117.36
218.45,116.33
223.24,117.44
228.46,118.08
233.93,117.79
238.93,117.68
242.58,119.52
249.99,116.76
251.77,119.44
3.07,121.33
7.43,123.09
11.95,122.31
16.41,123.02
24.20,122.11
28.32,124.54
31.13,121.94
36.12,124.02
42.66,123.60
48.68,121.51
51.75,124.37
55.99,122.47
61.83,123.06
67.64,123.79
72.72,123.94
76.63,124.33
83.95,121.96
88.70,123.58
91.55,121.92
99.56,123.53
102.86,120.87
107.63,121.39
111.69,124.04
119.12,124.65
121.82,122.51
126.59,122.09
131.78,124.29
139.38,124.69
142.67,122.24
148.12,123.41
152.95,123.88
156.37,122.54
160.62,124.83
168.18,122.63
173.43,122.11
177.83,124.14
183.78,123.59
189.13,124.54
193.41,123.15
198.72,123.39
203.08,122.34
208.71,123.77
211.81,121.18
218.91,123.36
223.13,122.77
228.34,124.49
232.88,122.14
237.09,122.41
241.63,123.60
246.75,122.23
252.31,123.08
1.66,128.03
7.65,128.34
11.44,127.66
16.81,128.73
20.97,126.29
25.28,129.36
31.47,129.54
39.09,128.12
43.92,126.75
49.11,127.31
54.45,129.64
58.00,126.76
62.31,128.24
66.71,128.39
73.41,129.20
76.42,129.00
82.72,126.78
87.58,128.23
92.12,126.66
98.44,128.52
103.94,128.53
107.00,126.47
113.97,127.35
117.59,129.64
122.71,127.75
128.46,127.78
131.90,127.88
136.84,128.60
144.54,127.09
146.47,129.43
152.76,129.80
159.34,129.51
163.99,125.89
166.63,126.88
172.73,126.79
176.25,126.41
183.04,128.44
189.33,129.54
192.51,127.50
199.53,128.15
204.71,128.80
208.64,128.32
212.42,127.77
218.52,127.99
223.55,127.74
230.65,125.91
231.11,129.51
236.70,126.98
242.83,129.62
248.70,127.58
254.92,126.25
1.04,131.06
7.16,134.26
11.77,131.96
16.25,133.95
22.54,134.52
26.76,133.24
33.75,130.95
36.54,132.20
41.29,134.23
46.90,134.37
50.71,132.23
59.12,132.07
64.06,132.48
68.98,133.49
73.34,132.76
78.39,132.79
84.13,131.95
89.33,134.07
93.49,131.23
98.73,134.09
101.12,132.04
107.76,132.33
111.67,131.63
119.26,134.25
124.55,131.66
127.86,133.45
131.74,132.90
138.98,132.26
142.17,134.19
147.49,134.38
153.91,134.04
159.61,134.97
162.77,133.81
168.38,133.57
171.95,132.03
178.79,132.47
181.75,131.68
186.15,134.67
193.89,133.78
198.56,133.18
202.94,133.48
208.29,131.58
212.04,133.87
217.14,131.76
223.35,133.03
229.28,133.42
232.43,132.29
238.68,133.11
242.07,134.70
247.55,133.17
254.63,132.49
1.14,136.30
7.95,138.05
12.44,139.30
16.23,137.32
24.01,137.64
28.01,139.08
33.23,139.09
37.52,136.19
43.57,136.34
49.21,136.29
53.68,138.22
59.06,136.19
62.50,138.68
66.40,138.73
73.08,139.02
76.24,137.20
84.15,140.33
85.60,137.21
92.74,138.05
99.05,137.60
104.55,138.80
108.92,138.85
113.54,136.86
116.65,138.99
122.55,138.69
126.91,138.41
131.11,139.48
139.34,139.00
141.76,137.58
149.16,139.99
151.33,136.70
156.30,137.39
163.95,138.46
170.04,139.31
173.73,136.33
179.36,135.92
181.79,137.90
189.07,137.68
192.23,139.95
198.31,137.50
204.73,136.80
209.07,138.19
214.76,136.83
220.05,136.09
222.74,137.73
228.95,139.88
235.04,136.17
237.30,138.46
243.90,138.78
249.67,138.50
254.19,136.67
2.29,141.87
8.72,144.38
14.33,142.28
18.46,141.64
23.82,143.75
28.93,144.56
33.32,142.87
37.05,144.30
42.16,141.69
47.80,143.50
51.29,144.15
56.15,144.81
62.79,141.54
66.56,142.40
73.93,142.69
77.60,141.70
82.56,144.22
87.70,141.09
91.15,142.33
96.27,142.29
101.48,141.46
106.70,142.11
113.11,144.31
119.01,141.04
120.52,144.66
128.93,141.47
133.19,141.23
139.14,142.73
143.54,143.47
147.82,144.56
152.84,144.26
159.47,144.13
163.21,141.63
168.81,143.60
174.71,143.09
178.21,141.95
183.36,142.17
188.81,141.96
194.76,142.41
197.94,142.63
201.78,143.36
208.51,143.53
213.85,141.11
218.12,143.79
221.57,144.29
227.79,143.54
233.18,141.80
238.80,143.15
245.09,143.85
248.32,142.09
252.35,142.02
1.02,148.08
5.39,146.32
14.19,147.59
16.39,149.73
21.06,148.03
26.96,149.77
33.77,146.43
39.51,146.13
41.71,150.02
47.49,148.64
51.06,147.62
59.74,149.84
61.14,147.42
67.03,146.68
71.08,146.17
76.57,147.03
84.25,148.56
88.47,149.19
91.85,147.11
98.21,147.05
101.91,146.77
109.07,148.97
113.79,148.05
119.29,149.55
123.65,148.77
127.28,147.32
134.22,148.31
137.25,148.12
141.90,147.99
147.60,148.32
152.35,149.13
159.03,147.15
164.63,150.47
165.67,146.70
172.95,146.41
179.79,147.39
184.19,148.22
189.20,147.15
194.52,147.20
199.86,147.57
204.80,146.14
209.56,149.35
213.59,145.90
216.92,148.60
223.66,148.71
226.59,146.22
232.83,146.76
239.95,147.46
245.00,149.49
247.30,147.30
252.04,147.04
2.88,152.37
8.84,151.82
13.30,152.55
17.23,153.29
22.65,151.41
27.59,154.87
32.49,152.38
36.29,153.78
44.12,154.32
47.73,151.98
52.39,151.92
57.41,152.03
64.32,151.67
67.99,154.92
72.71,151.88
77.86,153.44
82.30,154.31
87.67,153.75
93.17,153.04
98.28,151.24
102.60,151.75
109.81,152.72
113.68,153.72
117.09,154.52
124.23,153.42
129.73,153.14
132.89,151.92
139.58,154.81
143.23,154.15
146.63,152.75
153.51,152.74
158.26,154.40
164.88,154.45
169.92,150.96
173.39,153.66
177.22,153.85
181.64,154.68
187.90,152.66
193.21,151.50
196.02,154.92
203.91,152.32
207.78,152.36
213.75,151.41
216.59,154.78
222.13,153.46
227.47,151.85
232.06,153.70
238.71,153.27
241.91,153.44
247.11,153.25
254.87,154.40
4.19,158.71
7.45,156.50
11.75,158.18
15.92,159.80
20.50,157.80
26.09,158.84
31.20,156.21
37.50,159.01
41.01,157.30
46.15,156.97
53.77,156.70
56.74,157.34
63.23,158.46
68.47,159.20
71.73,157.43
78.40,157.05
81.86,159.15
88.88,157.70
94.75,157.49
98.81,157.27
103.23,156.30
106.70,157.67
112.00,159.33
119.46,159.51
123.88,157.58
128.66,157.77
131.95,157.87
137.72,158.61
143.52,159.37
149.51,158.79
153.98,158.57
157.99,159.24
164.82,159.51
169.77,158.55
172.94,157.00
178.39,158.70
184.24,158.65
188.86,156.65
191.33,159.46
197.98,158.68
201.24,159.36
206.98,157.34
212.89,157.78
219.16,158.48
224.65,158.47
230.08,158.97
231.83,156.39
239.81,160.00
242.18,157.95
248.25,156.64
254.98,158.50
2.47,163.04
7.58,163.24
11.58,163.16
16.45,164.22
23.72,164.69
27.35,163.10
33.02,162.19
37.37,163.22
42.78,164.03
46.99,161.67
51.54,162.41
57.29,162.31
62.13,162.62
68.94,162.71
74.31,162.06
78.12,163.46
83.45,164.12
89.49,164.05
91.52,161.79
98.03,162.59
102.36,161.78
107.43,161.87
112.65,164.41
119.12,163.98
123.52,164.96
127.10,161.50
133.03,164.06
139.38,162.27
145.21,161.68
146.49,164.36
153.85,163.32
160.10,164.44
162.03,161.38
169.69,162.58
174.79,164.39
176.97,161.69
184.80,164.71
188.09,163.79
194.10,163.30
199.71,163.12
203.40,162.65
210.00,161.27
213.38,163.72
216.89,162.86
222.62,162.57
228.30,161.70
232.26,165.11
237.82,162.21
244.88,163.36
249.93,164.50
252.84,164.07
2.15,167.91
5.87,168.61
12.25,166.97
18.09,169.70
20.66,166.54
27.01,167.60
32.34,168.34
36.09,166.76
43.44,169.36
47.54,166.94
52.66,166.60
58.94,167.93
62.44,168.69
68.32,167.78
73.56,167.18
78.39,169.05
82.98,168.82
87.50,167.89
91.19,169.16
99.16,169.48
102.86,168.05
107.65,166.44
112.91,168.76
118.47,168.22
122.88,169.65
127.36,166.54
134.02,169.46
137.11,166.27
142.85,166.90
146.91,168.07
152.80,166.92
158.60,167.54
162.89,167.87
166.92,168.39
171.73,168.36
177.93,166.59
182.42,166.75
187.05,169.76
193.92,169.14
199.74,167.50
204.54,169.16
208.38,166.00
212.19,168.23
219.40,167.82
221.89,165.98
227.44,167.20
234.74,169.47
239.42,168.84
242.00,166.91
247.23,166.93
255.30,166.05
0.41,172.17
9.04,174.34
13.59,172.41
